equipo,confederacion,grupo,ranking_fifa,puntos_fifa,gf_pp,gc_pp,gf_pp_bruto,gc_pp_bruto,corners_favor_pp,corners_contra_pp,amarillas_pp,rojas_pp,forma_5,partidos_2a
México,CONCACAF,A,14,1675,1.19,0.87,1.44,0.69,5.3,3.8,2.2,0.11,11,32
Corea del Sur,AFC,A,22,1599,1.2,1.3,1.71,0.9,5.1,3.9,2.0,0.08,9,21
República Checa,UEFA,A,31,1542,1.12,1.55,1.87,1.22,4.8,4.1,2.1,0.09,11,23
Sudáfrica,CAF,A,61,1386,0.93,1.98,1.75,0.83,4.4,4.4,2.3,0.11,5,24
Suiza,UEFA,B,17,1655,1.79,1.26,1.92,1.2,5.1,3.8,1.8,0.07,6,25
Canadá,CONCACAF,B,26,1574,1.06,0.9,1.34,0.69,4.9,4.0,2.1,0.1,9,29
Bosnia y Herzegovina,UEFA,B,34,1525,1.0,1.6,1.45,1.5,4.6,4.2,2.4,0.12,5,20
Catar,AFC,B,51,1445,0.92,2.73,1.24,1.84,4.3,4.5,2.6,0.13,2,25
Brasil,CONMEBOL,C,5,1776,1.83,1.0,1.76,0.92,5.9,3.6,2.3,0.12,10,25
Marruecos,CAF,C,11,1710,1.4,0.54,2.54,0.29,5.6,3.4,2.1,0.09,11,35
Escocia,UEFA,C,38,1507,1.29,1.31,1.57,1.35,4.6,4.3,2.1,0.09,9,23
Haití,CONCACAF,C,84,1289,1.0,2.15,2.5,1.09,3.8,4.9,2.6,0.14,7,22
Estados Unidos,CONCACAF,D,16,1670,1.59,1.47,1.62,1.38,5.2,3.8,2.0,0.09,6,32
Australia,AFC,D,25,1583,1.39,1.15,1.62,0.81,4.9,4.0,1.9,0.07,7,21
Turquía,UEFA,D,27,1572,1.46,1.27,2.0,1.2,5.0,4.0,2.8,0.16,13,25
Paraguay,CONMEBOL,D,39,1503,1.51,1.14,1.17,1.12,4.3,4.5,2.7,0.14,9,24
Alemania,UEFA,E,9,1724,1.9,0.98,2.52,0.96,5.9,3.4,1.7,0.06,15,25
Ecuador,CONMEBOL,E,23,1588,1.17,0.76,1.15,0.5,4.8,4.2,2.5,0.13,11,26
Costa de Marfil,CAF,E,42,1487,1.02,1.01,1.76,0.48,4.8,4.1,2.3,0.11,12,25
Curazao,CONCACAF,E,68,1338,0.76,1.8,2.05,1.05,4.0,4.6,2.4,0.12,4,22
Países Bajos,UEFA,F,7,1759,1.74,1.19,2.31,1.04,5.7,3.3,1.8,0.07,10,26
Japón,AFC,F,19,1645,1.62,0.57,2.4,0.45,5.6,3.5,1.6,0.05,15,20
Suecia,UEFA,F,37,1510,1.52,1.66,2.15,1.45,4.9,4.0,1.9,0.07,8,20
Túnez,CAF,F,43,1480,0.84,1.52,1.54,0.96,4.5,4.2,2.4,0.12,5,28
Bélgica,UEFA,G,8,1740,1.36,1.18,2.25,1.0,5.5,3.6,1.8,0.07,13,24
Irán,AFC,G,20,1618,1.13,1.18,1.74,0.68,5.0,3.9,2.2,0.11,10,19
Egipto,CAF,G,32,1540,0.93,1.04,1.39,0.61,4.8,4.0,2.2,0.1,8,28
Nueva Zelanda,OFC,G,86,1280,0.86,1.37,2.42,1.04,4.1,4.7,1.9,0.08,3,24
España,UEFA,H,2,1854,2.07,0.88,2.52,0.85,6.5,2.8,1.7,0.06,9,27
Uruguay,CONMEBOL,H,15,1672,1.1,0.9,1.04,0.76,5.2,4.0,2.6,0.15,6,25
Arabia Saudita,AFC,H,60,1390,0.88,1.77,1.11,1.14,4.2,4.5,2.5,0.12,4,36
Cabo Verde,CAF,H,70,1330,0.87,1.82,1.27,1.0,4.0,4.6,2.3,0.11,5,22
Francia,UEFA,I,3,1830,1.65,1.03,1.88,0.96,5.8,3.3,1.9,0.08,12,26
Senegal,CAF,I,24,1587,1.39,0.91,2.11,0.59,5.1,3.8,2.3,0.11,7,27
Noruega,UEFA,I,29,1553,1.89,1.14,2.95,0.85,5.3,3.7,1.9,0.08,8,20
Irak,AFC,I,58,1402,0.79,1.48,1.04,0.93,4.1,4.5,2.7,0.15,7,28
Argentina,CONMEBOL,J,1,1867,1.64,0.65,2.19,0.42,6.1,3.2,2.1,0.09,15,26
Austria,UEFA,J,18,1652,1.33,1.16,2.22,0.83,5.2,3.8,2.0,0.08,13,23
Argelia,CAF,J,35,1521,1.15,1.16,2.34,0.55,4.9,4.0,2.4,0.12,10,29
Jordania,AFC,J,64,1372,1.27,1.76,1.47,1.22,4.2,4.4,2.4,0.11,2,32
Portugal,UEFA,K,6,1770,1.55,1.11,2.16,0.88,6.0,3.1,1.9,0.11,10,25
Colombia,CONMEBOL,K,13,1679,1.81,1.06,1.96,0.93,5.4,3.9,2.4,0.1,9,27
Uzbekistán,AFC,K,55,1419,0.91,1.15,1.19,0.76,4.4,4.3,2.3,0.1,5,21
RD Congo,CAF,K,56,1410,0.95,1.09,1.38,0.54,4.3,4.4,2.5,0.13,7,24
Inglaterra,UEFA,L,4,1813,1.46,0.67,2.0,0.54,6.2,3.0,1.6,0.05,10,26
Croacia,UEFA,L,10,1717,1.29,1.34,1.91,1.17,5.3,3.7,2.0,0.09,9,23
Panamá,CONCACAF,L,33,1535,1.09,1.71,1.58,1.48,4.6,4.2,2.5,0.13,8,31
Ghana,CAF,L,72,1320,0.82,1.73,1.35,1.15,4.4,4.4,2.5,0.13,1,20
